Title,Label,Release Date,United States,United States R&B/HH,Australia,Canada,France,Germany,Ireland,Netherlands,New Zealand,Switzerland,United Kingdom,Sales_usd,Certifications
Chris Brown,"CBE, Jive",29/11/2005,2,1,57,39,51,31,71,47,8,18,29,2199000,"RIAA: 4× Platinum
ARIA: Platinum
BPI: Gold
MC: Gold
RMNZ: 2× Platinum"
Exclusive,"CBE, Jive",6/11/2007,4,2,5,16,53,91,2,68,3,28,3,2014000,"RIAA: 4× Platinum
ARIA: 2× Platinum
BPI: Platinum
IRMA: 2× Platinum
RMNZ: 4× Platinum"
Graffiti,"CBE, Jive",8/12/2009,7,1,40,84,134,—,47,83,40,—,55,362000,"RIAA: Gold
BPI: Silver
RMNZ: Gold"
F.A.M.E.,"CBE, Jive",22/03/2011,1,1,3,6,44,39,8,16,7,34,10,872000,"RIAA: 3× Platinum
ARIA: Platinum
BPI: Platinum
IRMA: Gold
RMNZ: 3× Platinum"
Fortune,"CBE, RCA",3/7/2012,1,1,2,6,8,13,4,1,1,10,1,465000,"RIAA: Platinum
ARIA: Gold
BPI: Gold
RMNZ: Platinum"
X,"CBE, RCA",16/09/2014,2,1,4,2,6,11,5,5,3,3,4,404000,"RIAA: 2× Platinum
ARIA: Gold
BPI: Gold
RMNZ: 3× Platinum"
Royalty,"CBE, RCA",18/12/2015,3,1,14,17,81,37,51,21,16,15,23,360000,"RIAA: Platinum
ARIA: Gold
BPI: Gold
RMNZ: 2× Platinum"
Heartbreak on a Full Moon,"CBE, RCA",31/10/2017,3,1,5,10,29,35,18,15,3,29,10,105000,"RIAA: 2× Platinum
ARIA: Platinum
BPI: Gold
MC: Platinum
RMNZ: 3× Platinum
SNEP: Gold"
Indigo,"CBE, RCA",28/06/2019,1,1,3,2,29,31,23,11,3,9,7,84000,"RIAA: 3× Platinum
ARIA: Gold
BPI: Gold
MC: Gold
RMNZ: 4× Platinum
SNEP: Gold"
Breezy,"CBE, RCA",24/06/2022,4,2,6,7,39,25,41,6,2,9,6,5000,"RIAA: Gold
BPI: Silver
RMNZ: Platinum"
11:11,"CBE, RCA",10/11/2023,9,2,16,34,49,38,41,6,2,9,11,6000,"BPI: Gold
RMNZ: Platinum"
Brown,"CBE, RCA",5/8/2026,7,3,16,16,58,77,89,17,5,7,17,5000,
