Album Title,Streams,Daily
Indigo (Extended),"4,689,043,199","1,289,481"
Indigo,"2,661,433,084","709,099"
Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,"2,484,265,821","407,400"
Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,"2,468,565,084","406,146"
Heartbreak on a Full Moon,"2,393,310,112","399,527"
Heartbreak on a Full Moon,"2,377,609,375","398,273"
F.A.M.E. (Expanded Edition),"2,358,307,527","906,104"
X (Expanded Edition),"2,217,077,780","644,207"
X (Expanded Edition),"2,214,294,852","643,107"
11:11 (Deluxe),"1,731,014,759","1,099,193"
Chris Brown (Expanded Edition),"1,718,373,675","757,183"
Exclusive (Expanded Edition),"1,637,632,111","907,562"
Fan of A Fan The Album (Expanded Edition),"1,484,757,365","707,149"
11:11,"1,214,604,513","713,783"
Slime & B,"1,100,726,577","272,792"
HEROES & VILLAINS,"1,034,554,004","328,897"
Royalty (Japan Version),"988,596,656","233,122"
Royalty (Deluxe Version),"987,583,759","233,058"
Fortune (Expanded Edition),"909,886,074","192,864"
Fortune (Expanded Edition),"899,562,486","187,529"
Planet Pit (Deluxe Version),"898,878,785","582,930"
BREEZY - It's Giving Christmas,"828,706,934","255,681"
Breezy (Deluxe),"811,836,653","252,520"
Breezy,"736,206,499","219,866"
Kiss Kiss,"509,933,245","299,514"
Graffiti (Expanded Edition),"228,219,948","46,574"
BROWN,"220,035,453","3,900,394"
Wall To Wall,"137,902,581","82,986"
Gimme That,"64,947,073","57,861"
Deuces Remix,"42,655,210","12,092"
Royalty International EP,"2,306,568",136
Crawl EP,"1,349,028",492
I Can Transform Ya EP,"391,072",73
