,Unnamed: 0,track_id,track_name,popularity,available_markets,disc_number,duration_ms,explicit,track_number,href,album_id,album_name,album_release_date,album_type,album_total_tracks,artists_names,artists_ids,principal_artist_id,principal_artist_name,artist_genres,principal_artist_followers,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,year,duration_min
0,0,2A6yzRGMgSQCUapR2ptm6A,True Colors,73,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;BY;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,227600,FALSE,4,['href'],31TRqoVBTQi0lzlPLtvINn,True Colors,10/14/1986 0:00,album,10,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,dance pop;new wave pop;permanent wave;soft rock,2412278,0.701,https://api.spotify.com/v1/audio-analysis/2A6yzRGMgSQCUapR2ptm6A,0.397,0.207,0.0000307,0,0.116,-13.155,1,0.0331,171.282,4,0.268,1986,3.793333333
1,1,3gKwVWwKmeuFtPubICbOGc,Paul Revere,61,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;BY;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,220840,FALSE,9,['href'],11oR0ZuqB3ucZwb5TGbZxb,Licensed To Ill,11/15/1986 0:00,album,13,Beastie Boys,03r4iKL2g2442PT9n2UKsx,03r4iKL2g2442PT9n2UKsx,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,2609297,0.0161,https://api.spotify.com/v1/audio-analysis/3gKwVWwKmeuFtPubICbOGc,0.883,0.553,0,6,0.228,-13.232,0,0.944,91.753,4,0.578,1986,3.680666667
2,2,2tY1gxCKslfXLFpFofYmJQ,Brass Monkey,68,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;BY;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,157440,FALSE,11,['href'],11oR0ZuqB3ucZwb5TGbZxb,Licensed To Ill,11/15/1986 0:00,album,13,Beastie Boys,03r4iKL2g2442PT9n2UKsx,03r4iKL2g2442PT9n2UKsx,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,2609297,0.00203,https://api.spotify.com/v1/audio-analysis/2tY1gxCKslfXLFpFofYmJQ,0.914,0.586,0.00000158,6,0.0992,-8.435,0,0.33,116.371,4,0.655,1986,2.624
3,3,31dqpLUModJWNbxrXu6TWd,Shot in the Dark,66,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;BY;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,256293,FALSE,9,['href'],2IPIumpbhrtBvjyzIgGE9j,The Ultimate Sin,2/22/1986 0:00,album,9,Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,album rock;alternative metal;birmingham metal;classic rock;glam metal;hard rock;metal;nu metal;rock,4954824,0.00835,https://api.spotify.com/v1/audio-analysis/31dqpLUModJWNbxrXu6TWd,0.581,0.791,0.0000602,6,0.142,-7.262,1,0.0324,123.887,3,0.619,1986,4.27155
4,4,00vYs0qZA40Z8AAaN7xmMO,Manic Monday,63,AE;BH;EG;GB;IE;IQ;JO;KW;LB;LY;OM;PS;QA;SA;US,1,184160,FALSE,1,['href'],7qEP3i0f0zfk6JUFW3SyeN,Different Light (Expanded Edition),1/1/1986 0:00,album,20,The Bangles,51l0uqRxGaczYr4271pVIC,51l0uqRxGaczYr4271pVIC,The Bangles,album rock;jangle pop;mellow gold;new romantic;new wave;new wave pop;paisley underground;singer-songwriter;soft rock,1315248,0.294,https://api.spotify.com/v1/audio-analysis/00vYs0qZA40Z8AAaN7xmMO,0.685,0.594,0.00000369,2,0.358,-10.906,1,0.0289,121.761,4,0.853,1986,3.069333333
5,5,7b4yGtR0rujvLi5EBfKKJ2,Take Me Home Tonight,72,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;BY;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,211160,FALSE,1,['href'],2gLYQmHLHZhNpTxlnlkXy7,Can't Hold Back,10/15/1986 0:00,album,10,Eddie Money,4Tw2N3wdvJPGEU7JqMxFfE,4Tw2N3wdvJPGEU7JqMxFfE,Eddie Money,album rock;classic rock;country rock;glam metal;hard rock;mellow gold;soft rock;southern rock,843949,0.101,https://api.spotify.com/v1/audio-analysis/7b4yGtR0rujvLi5EBfKKJ2,0.608,0.768,0.00000141,1,0.0942,-9.911,1,0.0364,132.699,4,0.748,1986,3.519333333
6,6,2OErSh4oVVAUll0vHxdr6p,Bigmouth Strikes Again - 2011 Remaster,74,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;BY;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,193320,FALSE,6,['href'],5Y0p2XCgRRIjna91aQE8q7,The Queen Is Dead,6/16/1986 0:00,album,10,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,4402333,0.0704,https://api.spotify.com/v1/audio-analysis/2OErSh4oVVAUll0vHxdr6p,0.401,0.901,0,1,0.538,-5.011,0,0.041,134.799,4,0.839,1986,3.222
7,7,4ZExvJvQXPEeYzGU0N3THi,Higher Love,67,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;BY;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,351506,FALSE,1,['href'],1VV4tdUYIjRlhKxu1gMw4d,Back In The High Life,6/30/1986 0:00,album,8,Steve Winwood,5gxynDEKwNDgxGJmJjZyte,5gxynDEKwNDgxGJmJjZyte,Steve Winwood,album rock;classic rock;folk rock;heartland rock;mellow gold;singer-songwriter;soft rock,998582,0.0427,https://api.spotify.com/v1/audio-analysis/4ZExvJvQXPEeYzGU0N3THi,0.696,0.78,0.149,5,0.298,-12.159,1,0.0415,98.699,4,0.954,1986,5.858433333
8,8,0xpBr84T3FTm9j4D1MdPtk,Invisible Touch - 2007 Remaster,65,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,208026,FALSE,1,['href'],632b0oXuFpstA4DO2cUKdG,Invisible Touch (2007 Remaster),6/9/1986 0:00,album,8,Genesis,3CkvROUTQ6nRi9yQOcsB50,3CkvROUTQ6nRi9yQOcsB50,Genesis,album rock;art rock;classic rock;hard rock;mellow gold;progressive rock;rock;soft rock;symphonic rock,3102965,0.186,https://api.spotify.com/v1/audio-analysis/0xpBr84T3FTm9j4D1MdPtk,0.617,0.931,0.00166,0,0.171,-6.845,1,0.0345,131.014,4,0.849,1986,3.4671
9,9,6sT9MWlJManry3EQwf4V80,Push It,71,AR;AU;AT;BE;BO;BR;BG;CA;CL;CO;CR;CY;CZ;DK;DO;DE;EC;EE;SV;FI;FR;GR;GT;HN;HK;HU;IS;IE;IT;LV;LT;LU;MY;MT;MX;NL;NZ;NI;NO;PA;PY;PE;PH;PL;PT;SG;SK;ES;SE;CH;TW;TR;UY;US;GB;AD;LI;MC;ID;JP;TH;VN;RO;IL;ZA;SA;AE;BH;QA;OM;KW;EG;MA;DZ;TN;LB;JO;PS;IN;BY;KZ;MD;UA;AL;BA;HR;ME;MK;RS;SI;KR;BD;PK;LK;GH;KE;NG;TZ;UG;AG;AM;BS;BB;BZ;BT;BW;BF;CV;CW;DM;FJ;GM;GE;GD;GW;GY;HT;JM;KI;LS;LR;MW;MV;ML;MH;FM;NA;NR;NE;PW;PG;WS;SM;ST;SN;SC;SL;SB;KN;LC;VC;SR;TL;TO;TT;TV;VU;AZ;BN;BI;KH;CM;TD;KM;GQ;SZ;GA;GN;KG;LA;MO;MR;MN;NP;RW;TG;UZ;ZW;BJ;MG;MU;MZ;AO;CI;DJ;ZM;CD;CG;IQ;LY;TJ;VE;ET;XK,1,272133,FALSE,1,['href'],5QFYPgLGw6DYz8S3TrLM2d,"Hot, Cool & Vicious",12/8/1986 0:00,album,9,Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,7wqtxqI3eo7Gn1P7SpP6cQ,Salt-N-Pepa,girl group;golden age hip hop;hip hop;hip pop;old school hip hop;queens hip hop,755873,0.00658,https://api.spotify.com/v1/audio-analysis/6sT9MWlJManry3EQwf4V80,0.913,0.596,0.00349,11,0.078,-12.477,0,0.0707,127.215,4,0.973,1986,4.53555
