Song Title,Artist,Debut Date,Peak Position,Peak Date,Weeks on Chart
Run It!,Chris Brown,27/08/2005,1,26/11/2005,38
Kiss Kiss,Chris Brown Featuring T-Pain,29/09/2007,1,10/11/2007,26
Forever,Chris Brown,10/05/2008,2,16/08/2008,33
With You,Chris Brown,15/12/2007,2,16/02/2008,29
Go Crazy,Chris Brown & Young Thug,23/05/2020,3,06/03/2021,52
No Air,Jordin Sparks Duet With Chris Brown,19/01/2008,3,26/04/2008,35
No Guidance,Chris Brown Featuring Drake,22/06/2019,5,05/10/2019,46
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,19/02/2011,6,16/04/2011,27
Yo (Excuse Me Miss),Chris Brown,31/12/2005,7,18/02/2006,21
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",17/12/2022,8,17/12/2022,24
Freaky Friday,Lil Dicky Featuring Chris Brown,31/03/2018,8,07/04/2018,20
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,01/02/2014,9,03/05/2014,36
Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,21/10/2006,9,16/12/2006,21
Don't Wake Me Up,Chris Brown,09/06/2012,10,10/11/2012,28
Say Goodbye,Chris Brown,26/08/2006,10,11/11/2006,23
Turn Up The Music,Chris Brown,03/03/2012,10,03/03/2012,20
Shawty Get Loose,Lil Mama Featuring Chris Brown & T-Pain,08/03/2008,10,05/04/2008,12
Under The Influence,Chris Brown,24/09/2022,12,21/01/2023,41
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",15/11/2014,12,27/12/2014,25
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,24/01/2015,13,09/05/2015,37
Show Me,Kid Ink Featuring Chris Brown,05/10/2013,13,05/04/2014,31
International Love,Pitbull Featuring Chris Brown,18/06/2011,13,11/02/2012,26
Deuces,Chris Brown Featuring Tyga & Kevin McCall,17/07/2010,14,16/10/2010,27
Yeah 3X,Chris Brown,13/11/2010,15,29/01/2011,24
Gimme That,Chris Brown Featuring Lil Wayne,22/04/2006,15,17/06/2006,20
It Depends,Chris Brown Featuring Bryson Tiller,09/08/2025,16,01/11/2025,33
Get Like Me,David Banner Featuring Chris Brown,24/05/2008,16,23/08/2008,21
Dreamer,Chris Brown,30/08/2008,16,30/08/2008,2
Back To Sleep,Chris Brown,02/01/2016,20,19/03/2016,20
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,24/10/2009,20,12/12/2009,19
Ayo,Chris Brown & Tyga,24/01/2015,21,11/04/2015,20
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,11/07/2015,21,15/08/2015,20
Love More,Chris Brown Featuring Nicki Minaj,10/08/2013,23,09/11/2013,26
Birthday Cake,Rihanna Featuring Chris Brown,10/03/2012,24,05/05/2012,20
Not You Too,Drake Featuring Chris Brown,16/05/2020,25,16/05/2020,1
Next To You,Chris Brown Featuring Justin Bieber,09/04/2011,26,09/04/2011,3
New Flame,Chris Brown Featuring Usher & Rick Ross,19/07/2014,27,04/10/2014,22
She Ain't You,Chris Brown,30/04/2011,27,06/08/2011,20
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",27/08/2016,27,10/12/2016,20
My Last,Big Sean Featuring Chris Brown,19/03/2011,30,23/07/2011,21
It Won't Stop,Sevyn Streeter Featuring Chris Brown,19/10/2013,30,21/12/2013,20
Fine China,Chris Brown,20/04/2013,31,08/06/2013,16
Best Love Song,T-Pain Featuring Chris Brown,09/04/2011,33,09/04/2011,20
What Them Girls Like,Ludacris Co-Starring Chris Brown & Sean Garrett,13/09/2008,33,01/11/2008,14
Undecided,Chris Brown,19/01/2019,35,19/01/2019,12
Heat,Chris Brown Featuring Gunna,14/09/2019,36,23/11/2019,20
Strip,Chris Brown Featuring Kevin K-MAC McCall,10/12/2011,37,31/03/2012,20
Better With The Lights Off,New Boyz Feat. Chris Brown,21/05/2011,38,22/10/2011,19
Drop It Low,Ester Dean Featuring Chris Brown,26/09/2009,38,31/10/2009,17
Freeze,T-Pain Featuring Chris Brown,01/11/2008,38,01/11/2008,10
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",20/09/2014,39,29/11/2014,20
