Album,Year,Label,Track Name,Edition,Genre
Chris Brown,2005,"CBE, Jive",Intro,Original,Contemporary R&B / Hip-Hop Soul
Chris Brown,2005,"CBE, Jive",Run It! ft. Juelz Santana,Original,Crunk&B / Hip-Hop
Chris Brown,2005,"CBE, Jive",Yo (Excuse Me Miss),Original,Contemporary R&B / Smooth Soul
Chris Brown,2005,"CBE, Jive",Young Love,Original,R&B Ballad / Teen Pop
Chris Brown,2005,"CBE, Jive",Gimme That,Original,Up-Tempo Urban R&B / Crunk Influence
Chris Brown,2005,"CBE, Jive",Ya Man Ain't Me,Original,Contemporary R&B / Slow Jam
Chris Brown,2005,"CBE, Jive",Winner,Original,Hip-Hop Soul / Up-Tempo R&B
Chris Brown,2005,"CBE, Jive",Ain't No Way (You Won't Love Me),Original,Dance-Pop / Bubblegum R&B
Chris Brown,2005,"CBE, Jive",What's My Name ft. Noah,Original,Hip-Hop Soul / Urban R&B
Chris Brown,2005,"CBE, Jive",Is This Love,Original,R&B / Soul Ballad
Chris Brown,2005,"CBE, Jive",Poppin',Original,Contemporary R&B / Slow_Mid Jam
Chris Brown,2005,"CBE, Jive",Just Fine,Original,Up-Tempo R&B / New Jack Swing Influence
Chris Brown,2005,"CBE, Jive",Say Goodbye,Original,R&B Ballad / Slow Jam
Chris Brown,2005,"CBE, Jive",Run It! (Remix) ft. Bow Wow & Jermaine Dupri,Original,So So Def Style Hip-Hop Soul / Pop-Rap
Chris Brown,2005,"CBE, Jive",Thank You,Original,Gospel-Inflected R&B / Outro
Exclusive,2007,"CBE, Jive",Throwed,Original,Hip-Hop Soul / Intro
Exclusive,2007,"CBE, Jive",Kiss Kiss ft. T-Pain,Original,Snap & B / Crunk&B / Pop-Rap
Exclusive,2007,"CBE, Jive",Take You Down,Original,Alternative R&B / Slow Jam
Exclusive,2007,"CBE, Jive",With You,Original,Pop-R&B / Soul
Exclusive,2007,"CBE, Jive",Picture Perfect ft. will.i.am,Original,Electro-Hop / Pop-Rap
Exclusive,2007,"CBE, Jive",Hold Up ft. Big Boi,Original,Southern Hip-Hop / R&B Funk
Exclusive,2007,"CBE, Jive",You,Original,Contemporary R&B / Urban Pop
Exclusive,2007,"CBE, Jive",Damage,Original,R&B Ballad / Slow Jam
Exclusive,2007,"CBE, Jive",Wall to Wall,Original,R&B / Synth-Pop
Exclusive,2007,"CBE, Jive",Help Me,Original,R&B / Adult Contemporary Ballad
Exclusive,2007,"CBE, Jive",I Wanna Be,Original,Traditional R&B Ballad
Exclusive,2007,"CBE, Jive",Gimme Whatcha Got ft. Lil Wayne,Original,Hip-Hop Soul / Club R&B
Exclusive,2007,"CBE, Jive",I'll Call Ya,Original,Reggae-Fusion / Dancehall R&B
Exclusive,2007,"CBE, Jive",Lottery,Original,Contemporary R&B
Exclusive,2007,"CBE, Jive",Nice ft. The Game,Deluxe,West Coast Hip-Hop / Urban R&B
Exclusive,2007,"CBE, Jive",Down ft. Kanye West,Deluxe,Hip-Hop Soul / Neo-Soul
Exclusive,2007,"CBE, Jive",Forever,Deluxe,Dance-Pop / Electro-Pop / Eurodisco
Exclusive,2007,"CBE, Jive",Superhuman ft. Keri Hilson,Deluxe,Pop-R&B Ballad
Exclusive,2007,"CBE, Jive",Get At Ya,Deluxe,Up-Tempo Urban R&B
Exclusive,2007,"CBE, Jive",Heart Ain't a Brain,Deluxe,Synth-Pop / Mid-Tempo R&B
Exclusive,2007,"CBE, Jive",Mama,Deluxe,Gospel-Pop / Soul Ballad
Graffiti,2009,"CBE, Jive",I Can Transform Ya ft. Lil Wayne & Swizz Beatz,Original,Electro-Hop / Synth-Rock / Crunk&B
Graffiti,2009,"CBE, Jive",Sing Like Me,Original,Contemporary R&B.
Graffiti,2009,"CBE, Jive",Crawl,Original,Pop-R&B / Power Ballad
Graffiti,2009,"CBE, Jive",So Cold,Original,R&B Ballad / Slow Jam
Graffiti,2009,"CBE, Jive",What I Do ft. Plies,Original, Hip-Hop Soul / Pop-Rap
Graffiti,2009,"CBE, Jive",Famous Girl,Original,Pop-R&B Ballad
Graffiti,2009,"CBE, Jive",Take My Time ft. Tank,Original,Contemporary R&B / Slow Jam
Graffiti,2009,"CBE, Jive",I.Y.A.,Original,Electro-Pop / Synth-Pop
Graffiti,2009,"CBE, Jive",Pass Out ft. Eva Simons,Original,Euro-Disco / Dance-Pop / Electro House
