Song Title,Streams,Daily
Under The Influence,"1,859,868,820","536,382"
No Guidance (feat. Drake),"1,314,736,433","476,304"
Superhero (Heroes & Villains) [with Future & Chris Brown],"1,034,554,004","328,897"
Five More Hours,"962,576,418","225,844"
International Love (feat. Chris Brown),"898,878,785","582,930"
Go Crazy,"864,194,073","217,968"
Forever,"842,170,219","559,999"
Loyal (feat. Lil Wayne & Tyga),"796,485,217","309,777"
Freaky Friday (feat. Chris Brown),"795,545,547","174,805"
Ayo,"717,686,290","187,496"
With You,"711,935,036","451,477"
No Air (feat. Chris Brown),"667,842,283","214,877"
Only,"639,099,485","87,253"
Do It Again,"636,857,851","151,349"
Nostálgico,"631,824,516","223,103"
Post to Be (feat. Chris Brown & Jhene Aiko),"570,191,216","197,739"
Not You Too (feat. Chris Brown),"569,101,130","720,721"
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"528,515,338","186,545"
Run It! (feat. Juelz Santana),"528,023,335","270,117"
Show Me (feat. Chris Brown),"477,843,667","196,050"
Yo (Excuse Me Miss),"476,887,135","149,859"
All Eyes on You (feat. Chris Brown & Nicki Minaj),"465,593,732","183,445"
Algo Me Gusta De Ti,"451,985,102","243,648"
Kiss Kiss (feat. T-Pain),"450,577,829","276,172"
New Flame (feat. Usher & Rick Ross),"445,703,834","132,993"
Angel Numbers / Ten Toes,"429,321,093","236,462"
Next To You (feat. Justin Bieber),"398,960,870","274,301"
Easy - Remix,"381,159,031","96,678"
Questions,"370,634,981","38,345"
The Take (feat. Chris Brown),"363,565,962","72,351"
It Won't Stop (feat. Chris Brown) - EP Version,"362,943,838","160,195"
Party (feat. Usher & Gucci Mane),"352,350,082","95,801"
Deuces (feat. Tyga & Kevin McCall),"325,511,315","124,672"
Yeah 3x,"314,436,168","81,641"
Say Goodbye,"270,825,682","117,129"
Monalisa,"269,383,205","120,783"
"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)","265,888,751","40,169"
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)","265,634,879","36,728"
Grass Ain't Greener,"260,300,289","62,153"
Privacy,"247,804,466","37,774"
Back To Sleep,"243,181,560","69,785"
Residuals,"241,227,285","224,819"
Already Best Friends (feat. Chris Brown),"237,812,947","60,208"
Take You Down,"237,739,936","67,813"
Nobody's Business,"233,513,326","181,725"
Girl You Loud,"232,738,454","343,937"
Beat It (feat. Chris Brown & Wiz Khalifa),"223,169,806","224,769"
"Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)","222,655,494","76,296"
Come Through (feat. Chris Brown),"216,143,038","43,218"
Fun (feat. Chris Brown),"215,858,322","27,466"
Don't Wake Me Up,"214,517,801","38,371"
Beautiful People,"212,197,433","57,187"
Turn Up the Music,"211,972,687","43,173"
Heat (feat. Gunna),"209,031,089","39,591"
