Video,Views,Yesterday,Published
"Chris Brown - Loyal (Official Video) ft. Lil Wayne, Tyga","1,558,088,624","246,552",2014/03
Pitbull - International Love (Official Video) ft. Chris Brown,"1,054,623,824","157,440",2011/12
Omarion Ft. Chris Brown & Jhene Aiko - Post To Be (Official Music Video),"925,916,193","61,632",2015/02
Chris Brown - With You (Official HD Video),"833,627,731","208,392",2009/10
"Chris Brown - Look at Me Now (Official Video) ft. Lil Wayne, Busta Rhymes","587,353,793","18,048",2011/03
"Chris Brown - New Flame (Official Video) ft. Usher, Rick Ross","549,796,167","101,256",2014/08
Chris Brown - Under The Influence (Official Video),"535,208,403","235,560",2022/10
Chris Brown - No Guidance (Official Video) ft. Drake,"509,373,361","37,320",2019/07
Chris Brown - Kiss Kiss (Feat. T-Pain) (Official HD Video) ft. T-Pain,"461,574,213","74,208",2009/10
Chris Brown - Forever (Official HD Video),"424,501,559","100,728",2009/10
"Chris Brown, Tyga - Ayo (Official Video)","408,381,151","50,016",2015/02
"Chris Brown - Pills & Automobiles (Official Video) ft. Yo Gotti, A Boogie Wit Da Hoodie, Kodak Black","407,219,889","47,280",2017/08
Chris Brown - No Guidance (Audio) ft. Drake,"364,959,877","41,616",2019/06
Chris Brown - Say Goodbye (Official HD Video),"361,874,920","73,560",2009/10
Chris Brown - Next To You ft. Justin Bieber,"361,540,939","37,728",2011/06
Chris Brown - Yeah 3x (Official Video),"350,901,272","37,464",2010/10
"Chris Brown - Party (Official Video) ft. Usher, Gucci Mane","339,035,564","19,224",2016/12
Chris Brown - Turn Up the Music (Official Video),"320,870,432","17,496",2012/02
Chris Brown - Gimme That Remix (Official HD Video) ft. Lil Wayne,"315,632,921","90,360",2009/10
Chris Brown - Don't Judge Me,"282,244,745","34,176",2012/09
Chris Brown - Privacy (Official Video),"273,263,224","20,208",2017/04
Chris Brown - Heat (Official Video) ft. Gunna,"265,264,958","28,992",2019/08
Chris Brown - Don't Wake Me Up (Official Video),"263,500,346","15,168",2012/06
"Chris Brown, Young Thug - Go Crazy (Official Video)","253,264,648","56,328",2020/07
Chris Brown - Run It! (Official HD Video) ft. Juelz Santana,"241,187,319","57,768",2009/10
Pitbull - Fun (Official Video) ft. Chris Brown,"236,405,687","9,024",2015/06
Chris Brown - Love More (Explicit) ft. Nicki Minaj,"232,185,493","11,616",2013/08
Chris Brown - Yo (Excuse Me Miss) (Official HD Video),"213,530,904","41,088",2009/10
Chris Brown - Under The Influence (Audio),"213,310,177","26,832",2019/10
Chris Brown - Back To Sleep (Official Video),"211,465,239","34,008",2015/12
"Chris Brown, Tyga - Ayo (Audio)","202,170,475","52,992",2015/01
Chris Brown - Superhuman (Official HD Video) ft. Keri Hilson,"194,650,874","44,592",2009/10
Chris Brown - Residuals (Official Video),"192,422,566","248,928",2025/01
Chris Brown - Angel Numbers / Ten Toes (Official Video),"188,981,395","127,704",2024/02
Chris Brown - Questions (Official Video),"177,891,028","14,784",2017/08
"Chris Brown - Sensational (Official Video) ft. Davido, Lojay","157,764,157","62,424",2023/10
"Chris Brown - Deuces (Official HD Video) ft. Tyga, Kevin McCall","157,270,962","36,216",2010/07
Chris Brown - Little More (Royalty) [Explicit Version],"146,946,899","12,720",2015/12
"Rvssian, Rauw Alejandro & Chris Brown — Nostálgico (Official Video)","141,614,898","17,592",2021/09
Chris Brown - Undecided (Official Video),"131,997,857","13,296",2019/01
Chris Brown - Grass Ain't Greener (Official Video),"131,728,189","15,120",2016/08
"Nicki Minaj - Only (Official Lyric Video) ft. Drake, Lil Wayne, Chris Brown","130,854,624","2,832",2014/11
Chris Brown - Call Me Every Day (Official Video) ft. Wizkid,"124,579,038","31,992",2022/08
Chris Brown - Tempo (Official Video),"117,675,260","7,032",2018/03
Chris Brown - Don't Think They Know (Official Video) ft. Aaliyah,"116,808,151","7,056",2013/06
Chris Brown - Liquor / Zero (Explicit Version),"113,923,895","4,512",2015/09
Chris Brown - Fine China (Official Video),"112,526,452","7,104",2013/04
Chris Brown - This Christmas (Official HD Video),"103,661,586","1,176",2010/09
"Chris Brown - Deuces ft. Tyga, Kevin McCall","99,100,418","20,376",2010/07
Chris Brown - Wet the Bed (Audio) ft. Ludacris,"96,875,873","20,160",2011/09
Fat Joe - Another Round ft. Chris Brown (Official Music Video),"95,702,464","19,728",2012/08
Chris Brown - She Ain't You (Official Video),"91,493,698","11,376",2011/04
"Chris Brown - Wobble Up (Official Video) ft. Nicki Minaj, G-Eazy","90,264,738","4,992",2019/05
Joyner Lucas & Chris Brown - I Don't Die,"86,501,556","3,360",2018/05
Chris Brown - Wall To Wall (Official HD Video),"86,118,703","6,960",2009/10
"G-Eazy - Drifting (Official Video) ft. Chris Brown, Tory Lanez","85,095,455","5,136",2016/04
Chris Brown - Strip (Official Music Video) ft. Kevin McCall,"82,311,434","5,664",2011/12
Chris Brown - Hope You Do (Official Video),"81,668,166","9,648",2018/06
Chris Brown - Grass Ain't Greener (Official Audio),"75,438,415","15,144",2016/05
Future - PIE (Official Music Video) ft. Chris Brown,"73,246,120","2,280",2017/06
Chris Brown - Sweet Love (Official Video),"72,674,778","6,744",2012/05
Chris Brown - Autumn Leaves (Explicit) ft. Kendrick Lamar,"72,563,091","12,864",2015/01
"Chris Brown, Young Thug - Go Crazy (Audio)","71,969,473","3,672",2020/05
Chris Brown - Zero (Official Video),"70,176,358","4,872",2015/09
Chris Brown - Liquor (Official Audio),"67,593,577","7,392",2015/06
Chris Brown - Tempo (Audio),"66,173,574","2,472",2017/10
Brandy - Put It Down (Official Video) ft. Chris Brown,"65,086,620","4,104",2012/08
Chris Brown - Residuals (Visualizer),"64,049,524","20,184",2024/04
Chris Brown - Heat (Audio) ft. Gunna,"63,166,612","4,872",2019/06
"Chris Brown - I Can Transform Ya (Official HD Video) ft. Swizz Beatz, Lil' Wayne","62,238,055","8,856",2020/11
Chris Brown - Anyway (Explicit Version) ft. Tayla Parx,"60,056,844","1,824",2015/12
"Chris Brown - High End (Official Video) ft. Future, Young Thug","59,747,486","2,256",2017/10
Chris Brown - Indigo (Audio),"59,718,266","12,648",2019/06
Tyga - For The Road (Explicit) ft. Chris Brown,"59,330,226","2,784",2013/05
Chris Brown - Fine By Me (Official Video),"58,148,077","1,896",2015/11
Chris Brown - Angel Numbers / Ten Toes (Visualizer),"55,147,509","36,888",2023/11
Chris Brown - Take You Down (Official HD Video),"54,719,342","2,424",2009/10
Chris Brown - Wall to Wall (Remix) ft. Jadakiss (Official HD Video) ft. Jadakiss,"53,175,139","9,216",2009/10
Chris Brown - Privacy (Audio),"52,781,418","2,496",2017/03
"Chris Brown - New Flame (Official Video - Clean) ft. Usher, Rick Ross","51,686,117","5,592",2014/08
